Questions,BadExample,BadBlurb,GoodExample,GoodBlurb
Tell me about yourself. What do you like to do in and out of school?,"Oh, I do not know. I guess I like hanging out with friends and watching TV.","Rambling or unfocused stories, too personal or irrelevant details.",I'm a recent computer science graduate from XYZ  with a passion for developing scalable web applications. I've interned with ABC companies. I am eager to bring my technical skills to a company like yours.,Detail  relevant experience and skills. Mention key accomplishments. Express  passion for the industry.
What are your greatest strengths? Why are these your strengths?,"I am pretty awesome at everything I try to do, honestly.","Vague, overconfident without examples, cliches without proof.","My greatest strengths are my problem-solving abilities and my proficiency in programming languages. I am also highly adaptable, which allows me to integrate and contribute to projects quickly.","Highlight core strengths like problem-solving, leadership, and communication. Give examples."
What are your greatest weaknesses? Why are these your weaknesses?,I work too hard sometimes. It's like I can not stop being amazing.,"Saying none, being overly negative, revealing critical weaknesses for the job.",I tend to be a perfectionist; I spend more time on tasks to ensure they meet my high standards. I'm working on balancing perfectionism with efficiency by setting more realistic goals and deadlines for myself.,"Be honest, but state how you are addressing your weaknesses. Frame weaknesses as areas of development."
Tell me about a challenge or conflict you have faced and how you dealt with it.,I do not really face challenges; I usually just quit when things get tough.,"Blaming others, lacking resolution, showing inability to handle conflict.","Our team had conflicting views on a project's direction. I initiated team meetings to discuss everyone's ideas and concerns, which helped us find a common ground and move forward with a unified approach.",Be specific about the challenge and your approach. Emphasize teamwork and problem-solving skills.
Tell me about a time you made a mistake. Why did you make this mistake?,I can not really remember making any mistakes.,"Denying you've ever made mistakes, trivializing serious mistakes, blaming others.",I  overwrote a live database during testing because I did not double-check the server settings. I learned the importance of rigorous testing environments and now always ensure to have proper checks in place.,"Share a specific mistake, what you learned from it, and how it led to a positive change."
Tell me about a time you failed. Why did you fail?,I never fail.,"Saying you never fail, not showing learning or responsibility, focusing only on negatives.",I failed to meet the  deadline for a project due to underestimating the amount of work needed. I've improved my time management skills by using tools to better track progress and set realistic timelines.,"Discuss a failure, your response to it, and the lessons learned. Emphasize resilience and growth mindset."
Tell me about a time you demonstrated leadership skills.,I usually try to avoid leading; it is too much work.,"No concrete examples, claiming no experience in leadership, vague responses.","As the lead on a project, I coordinated a team of 10 members. I delegated tasks, held regular status meetings, and motivated the team, which led to us completing the project two weeks ahead of schedule.",Describe a specific leadership role and your actions. Focus on traits like initiative and the ability to motivate
What can you bring to the company? Why should we hire you?,"Just my awesome presence, I guess.","Generic skills without relation to the job, overpromising unrealistic results, vagueness.",I can bring my extensive coding skills and my proven ability to work under pressure and solve problems. I also bring a positive attitude and a strong work ethic.,Highlight unique skills that align with company needs. Stress how you can contribute to their goals.
What are your goals? What do you want to accomplish?,To make as much money as possible without doing much work.,"Unrealistic, unrelated to career, too personal or unrelated to the job.","My short-term goal is to find a position where I can grow and make a positive impact on the company. Long-term, I aim to develop my skills to eventually move into a leadership role.",Outline professional aspirations that align with the position. Show ambition and the desire for growth.
What is a time you disagreed with a decision that was made?,"I usually just go along with whatever, even if I disagree.","Being overly critical of past employers, showing inability to manage disagreement constructively.","I disagreed with a decision to implement a feature I felt was not user-friendly. I expressed my concerns to the team using data from user feedback and proposed an alternative, which was adopted.","Explain the situation,  reasoning for disagreement, and how you handled the communication constructively."
